Team,Offensive,Defensive
0.0,22.50666838047418,44.40066650988595
0.0,27.143701840503628,52.6379280358294
0.0,22.998010286621287,64.33228129554453
0.0,18.351140923291048,34.52889701060131
0.0,8.210678021385426,43.33134680369814
0.0,23.66107778634748,45.352236091518336
0.0,22.01351057274229,50.39047587427714
0.0,24.880996132208463,35.489494788483235
0.0,27.035055779975373,52.45650384019277
0.0,15.465856058023318,46.2963033020954
0.0,11.935584058604745,51.637992537172856
0.0,28.406665494861944,66.80794357804693
0.0,9.662867594568644,59.67098851258137
0.0,27.09691429358714,60.10711285736811
0.0,29.61855892864613,40.881211147746754
0.0,16.901403322743416,44.42987785042952
0.0,29.79582259970224,48.88866195601804
0.0,33.15441623716663,35.933552993632006
0.0,19.596460066916663,63.417801596319904
0.0,20.583944680667805,52.54824330234425
0.0,33.46656843492164,39.745716665674095
0.0,11.581793277333476,35.01293179616219
0.0,13.963561696345485,40.10426441712016
0.0,13.552872104993703,46.66052641699847
0.0,12.08707284772096,55.20619702089
0.0,21.615929736193213,53.22994225702887
0.0,12.424827963257226,54.56125110825701
0.0,22.565623241976677,40.63334507107776
0.0,24.19636240236392,52.163782475455406
0.0,26.990279441686432,51.40339790938986
0.0,33.764917129236935,53.80652796763376
0.0,0.0,48.75686761972152
0.0,10.494558316713366,53.319512417324646
0.0,12.264797386308286,40.68361770523419
0.0,27.453157373588937,52.35783883481895
0.0,26.539674690075756,58.595274833144266
0.0,22.76078574927047,39.76069412323661
0.0,30.682904962681373,48.94568086969129
0.0,36.30203088250396,37.68339169887537
0.0,27.191328776854963,47.2686702237613
0.0,12.964194243878,69.49696869710829
0.0,15.944678682472604,49.16951824501121
0.0,21.71106658308433,62.06789527167852
0.0,17.26882738123434,47.73610377494504
0.0,11.485077618563848,50.350105866024265
0.0,33.15962803316032,57.9186464688499
0.0,24.392893719910965,42.54780632950767
0.0,29.481510861940148,47.21311262780872
0.0,19.06365666346403,34.159585085429136
0.0,22.8799637662013,46.56620820969631
0.0,38.43155746911776,33.62421310897808
0.0,14.451980211003438,61.84043920742313
0.0,26.94955178097124,61.13903466168182
0.0,12.29942794518083,44.50133985318779
0.0,23.18733221427497,44.75481751367162
0.0,20.614459717814505,43.50923414473184
0.0,2.782226626926448,43.71616716268859
0.0,29.70467683587319,55.685846362572846
0.0,22.888667453954803,38.59153765698528
0.0,24.162790980476192,62.76976581009168
0.0,45.28946024458128,29.872774537417406
0.0,26.90688166864689,39.30879099945719
0.0,38.53755137071932,46.3171705990725
0.0,35.27651900774124,35.7197415389207
0.0,10.305636491016614,59.23331275844999
0.0,33.39660028684666,58.29505012688073
0.0,27.52940838494076,59.5668747911005
0.0,17.47754175587263,64.95872075860959
0.0,17.971786892195766,44.80630325232031
0.0,35.31007629299985,31.6920239898294
0.0,17.317040270805172,39.08638034508829
0.0,23.22709170321778,38.20994927975302
